# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES
#
1	Khispi	1sg	1sg	ga	ga	g a		1	1	g a	i n	1	1sg
2	Duhumbi	1sg	1sg	ga	ga	g a		1	1	g a	i n	1	1sg
3	Khoina	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg
4	Jerigaon	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg
5	Khoitam	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg
6	Rahung	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg
7	Rupa	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg
8	Shergaon	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg
#
9	Khispi	2pl.excl	2pl.excl	na-lu	na+lu	n a + l u		3 2	3 2	n a + l u	i n + i n	3 2	2plexcl 2plexcl
10	Duhumbi	2pl.excl	2pl.excl	na-ɹ	na+ɹ	n a + ɹ		3 2	3 2	n a + ɹ -	i n + i	3 2	2plexcl 2plexcl
14	Rahung	2pl.excl	2pl.excl	na-ryː	na+ryː	n a + r yː		3 2	3 2	n a + r yː	i n + i n	3 2	2plexcl 2plexcl
15	Rupa	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː + b l u ŋ	i n + i m n c	3 1285	2plexcl 2plexcl
16	Shergaon	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː + b l u ŋ	i n + i m n c	3 1285	2plexcl 2plexcl
#
17	Khispi	2pl.incl	2pl.incl	nal-tʰe	nal+tʰe	n a l + tʰ e		5 4	5 4	n a l + tʰ e -	i n c + i n	5 4	2plincl 2plincl
18	Duhumbi	2pl.incl	2pl.incl	naɹ-tʰeˀ	naɹ+tʰeˀ	n a ɹ + tʰ eˀ		5 4	5 4	n a ɹ + tʰ eˀ -	i n c + i n	5 4	2plincl 2plincl
19	Khoina	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - + tʰ i k	i n + i n c	5 4	2plincl 2plincl
20	Jerigaon	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - + tʰ i k	i n + i n c	5 4	2plincl 2plincl
21	Khoitam	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - + tʰ ɛ k	i n + i n c	5 4	2plincl 2plincl
22	Rahung	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - + tʰ ɛ k	i n + i n c	5 4	2plincl 2plincl
23	Rupa	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - + tʰ i k	i n + i n c	5 4	2plincl 2plincl
24	Shergaon	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - + tʰ i k	i n + i n c	5 4	2plincl 2plincl
#
