NUMBER	COGNATESET	CONCEPT	MORPHEME	PROTOFORM	SCORE
1	1	1sg	1sg	1.00	⁴g ³⁰a
1	2	2pl.excl	_excl1	0.00	⁰? ⁰?
1	3	2pl.incl	_excl1	0.00	⁰?
1	4	2pl.incl	_incl1	0.67	³¹tʰ ⁰? ³k
1	5	2pl.excl	2pl	0.00	⁰? ⁰?
1	6	2sg	2sg	0.67	⁰? ⁶⁹a ⁸²ŋ
1	7	3sg	3sg	0.67	⁰? ³o ³⁵j
1	11	Bugun	bugun	0.00	⁰? ⁰?
1	12	Bugun	bugun	1.00	⁵hl|³⁶l ¹⁴a|⁴⁵u ⁶m|⁸²ŋ
1	13	Indo-Aryan person	indoaryanperson	1.00	¹³tɕʰ ³⁰a
1	14	Indo-Aryan person	indoaryanperson	1.00	³kʰj|³tsʰ ²⁸a
1	15	human being prefix	human-prefix	0.50	⁰? ³²I
1	16	Indo-Aryan person	indoaryanperson	0.50	⁰? ¹²a
1	17	Jerigaon people	jerigaonpeople	0.50	⁰? ³I
1	18	Thembang people	ji-suffix1	0.00	⁰? ⁰?
1	19	Jerigaon people	jerigaonpeople	1.00	²⁵d ³o
1	21	Khoitam people	khoitampeople	0.33	⁰? ⁰? ¹¹s
1	22	mushroom	?	0.50	⁰? ²⁸u
1	23	Khoitam people	khoitampeople	1.00	¹⁸t ⁶⁹a ¹⁰m
1	24	Miji people	mijipeople	0.50	⁰? ⁶a
1	25	Miji people	?	1.00	³⁶kʰ ¹⁴a|⁴⁵u
1	27	boil (n)	boiln	0.33	⁰? ⁰? ⁴ŋ
1	28	boil (n)	pa-suffix1	0.50	⁷p ⁰?
1	29	Monpa	monpa	0.50	³brj|⁸dʑ ⁰?
1	30	Monpa	monpa	0.00	⁰? ⁰? ⁰?
1	31	Namshu people	namshupeople	0.00	⁰? ⁰?
1	32	leech, land	pa-suffix2	0.00	⁰? ⁰?
1	33	Namshu people	sky-prefix1	0.33	⁰? ⁰? ¹⁸m
1	35	Puroik	puroik	1.00	¹⁸t ⁷²a ⁸²ŋ
1	37	five	?	1.00	³⁶kʰ ³⁰a
1	38	Puroik	puroik	0.00	⁰?
1	39	saliva	?	1.00	³⁶kʰ ¹⁸⁸a
