ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE
1	Khispi	1sg	1sg	ga	ga	g a		1	1	g a g a	i n
2	Duhumbi	1sg	1sg	ga	ga	g a		1	1	g a g a	i n
3	Khoina	1sg	1sg	guː	guː	g uː		1	1	g uː g uː	i n
4	Jerigaon	1sg	1sg	guː	guː	g uː		1	1	g uː g uː	i n
5	Khoitam	1sg	1sg	guː	guː	g uː		1	1	g uː g uː	i n
6	Rahung	1sg	1sg	guː	guː	g uː		1	1	g uː g uː	i n
7	Rupa	1sg	1sg	guː	guː	g uː		1	1	g uː g uː	i n
8	Shergaon	1sg	1sg	guː	guː	g uː		1	1	g uː g uː	i n
9	Khispi	2pl.excl	2pl.excl	na-lu	na+lu	n a + l u		3 2	3 2	n a n a + l u l u	i n + i n
10	Duhumbi	2pl.excl	2pl.excl	na-ɹ	na+ɹ	n a + ɹ		3 2	3 2	n a n a + ɹ - ɹ -	i n + i
14	Rahung	2pl.excl	2pl.excl	na-ryː	na+ryː	n a + r yː		3 2	3 2	n a n a + r yː r yː	i n + i n
15	Rupa	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː n aː + b l u ŋ b l u ŋ	i n + i m n c
16	Shergaon	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː n aː + b l u ŋ b l u ŋ	i n + i m n c
17	Khispi	2pl.incl	2pl.incl	nal-tʰe	nal+tʰe	n a l + tʰ e		5 4	5 4	n a l n a l + tʰ e - tʰ e -	i n c + i n
18	Duhumbi	2pl.incl	2pl.incl	naɹ-tʰeˀ	naɹ+tʰeˀ	n a ɹ + tʰ eˀ		5 4	5 4	n a ɹ n a ɹ + tʰ eˀ - tʰ eˀ -	i n c + i n
19	Khoina	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - n a - + tʰ i k tʰ i k	i n + i n c
20	Jerigaon	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - n a - + tʰ i k tʰ i k	i n + i n c
21	Khoitam	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - n a - + tʰ ɛ k tʰ ɛ k	i n + i n c
22	Rahung	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - n a - + tʰ ɛ k tʰ ɛ k	i n + i n c
23	Rupa	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - n aː - + tʰ i k tʰ i k	i n + i n c
24	Shergaon	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - n aː - + tʰ i k tʰ i k	i n + i n c
25	Khispi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
26	Duhumbi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
27	Khoina	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
28	Jerigaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
29	Khoitam	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
30	Rahung	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
31	Rupa	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
32	Shergaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ n a ŋ	i n c
33	Khispi	3sg	3sg	wuj	wuj	w u j		7	7	w u j w u j	i n c
34	Duhumbi	3sg	3sg	wɔj	wɔj	w ɔ j		7	7	w ɔ j w ɔ j	i n c
35	Khoina	3sg	3sg	laŋ-waː	laŋ+waː	l a ŋ + w aː		10 7	10 7	l a ŋ l a ŋ + w aː - w aː -	i n c + i n
36	Jerigaon	3sg	3sg	waː	waː	w aː		7	7	w aː - w aː -	i n
37	Khoitam	3sg	3sg	waː-ʥi	waː+ʥi	w aː + dʑ i		7 9	7 9	w aː - w aː - + dʑ i dʑ i	i n + i n
38	Rahung	3sg	3sg	hɛˀ ~ ɛˀ	hɛˀ	h ɛˀ		8	8	h ɛˀ h ɛˀ	i n
39	Rupa	3sg	3sg	waː	waː	w aː		7	7	w aː - w aː -	i n
40	Shergaon	3sg	3sg	waː	waː	w aː		7	7	w aː - w aː -	i n
603	Khoina	Bugun	Bugun	ʂə-luŋ	ʂə+luŋ	ʂ ə + l u ŋ		11 12	11 12	ʂ ə ʂ ə + l u ŋ l u ŋ	i n + i n c
606	Rahung	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u s u + l u ŋ l u ŋ	i n + i n c
607	Rupa	Bugun	Bugun	sə-luŋ	sə+luŋ	s ə + l u ŋ		11 12	11 12	s ə s ə + l u ŋ l u ŋ	i n + i n c
608	Shergaon	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u s u + l u ŋ l u ŋ	i n + i n c
2041	Khispi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i b i + tɕʰ a tɕʰ a	i n + i n
2042	Duhumbi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i b i + tɕʰ a tɕʰ a	i n + i n
2043	Khoina	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə d ə + tɕʰ uː tɕʰ uː	i n + i n
2045	Khoitam	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə tɕʰ ə + tɕʰ uː tɕʰ uː	i n + i n
2046	Rahung	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə tɕʰ ə + tɕʰ uː tɕʰ uː	i n + i n
2047	Rupa	Indo-Aryan person	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə+ʨʰuː	n ə + tɕʰ uː		16 13	16 13	n ə n ə + tɕʰ uː tɕʰ uː	i n + i n
2048	Shergaon	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə d ə + tɕʰ uː tɕʰ uː	i n + i n
2091	Khoina	Jerigaon people	Jerigaon people	də-ʨĩː-ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i		19 17 18	19 17 18	d ə d ə + tɕ ĩː tɕ ĩː + dʑ i dʑ i	i n + i n + i n
2092	Jerigaon	Jerigaon people	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i		20 17 18	20 17 18	kʰ kʰ + tɕ ĩː tɕ ĩː + dʑ i dʑ i	i + i n + i n
2095	Rupa	Jerigaon people	Jerigaon people	di-ʨʰi-ʥi	di+ʨʰi+ʥi	d i + tɕʰ i + dʑ i		19 17 18	19 17 18	d i d i + tɕʰ i tɕʰ i + dʑ i dʑ i	i n + i n + i n
2113	Khispi	Khoitam people	Khoitam people	kʰus-tam-bi	kʰus+tam+bi	kʰ u s + t a m + b i		21 23 22	21 23 22	kʰ u s kʰ u s + t a m t a m + b i b i	i n c + i n c + i n
2115	Khoina	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - g ə - + t a m t a m + dʑ i dʑ i	i n + i n c + i n
2116	Jerigaon	Khoitam people	Khoitam people	kʰ-tam-ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i		21 23 22	21 23 22	kʰ - - kʰ - - + t a m t a m + dʑ i dʑ i	i + i n c + i n
