ID	NUMBER 	ENGLISH
Bolt-2018-576-1	1	1sg
Bolt-2018-576-2	2	2pl.excl
Bolt-2018-576-3	3	2pl.incl
Bolt-2018-576-4	4	2sg
Bolt-2018-576-5	5	3sg
Bolt-2018-576-6	6	ablative
Bolt-2018-576-7	7	above, top
Bolt-2018-576-8	8	achieve, obtain
Bolt-2018-576-9	9	aconite
Bolt-2018-576-10	10	after
Bolt-2018-576-11	11	afternoon
Bolt-2018-576-12	12	agent
Bolt-2018-576-13	13	alive, healthy
Bolt-2018-576-14	14	all
Bolt-2018-576-15	15	allative
Bolt-2018-576-16	16	amaranth
Bolt-2018-576-17	17	angry (vi)
Bolt-2018-576-18	18	ant
Bolt-2018-576-19	19	arrive
Bolt-2018-576-20	20	arrow
Bolt-2018-576-21	21	ascend
Bolt-2018-576-22	22	ash
Bolt-2018-576-23	23	ask
Bolt-2018-576-24	24	associative
Bolt-2018-576-25	25	attic
Bolt-2018-576-26	26	axe
Bolt-2018-576-27	27	back (n)
Bolt-2018-576-28	28	back (wards)
Bolt-2018-576-29	29	bad1
Bolt-2018-576-30	30	bad2
Bolt-2018-576-31	31	bamboo
Bolt-2018-576-32	32	banana
Bolt-2018-576-33	33	barley
Bolt-2018-576-34	34	bastard
Bolt-2018-576-35	35	bat
Bolt-2018-576-36	36	beans
Bolt-2018-576-37	37	bear
Bolt-2018-576-38	38	beat, hit
Bolt-2018-576-39	39	beautiful
Bolt-2018-576-40	40	bee
Bolt-2018-576-41	41	beer filter
Bolt-2018-576-42	42	beer strainer
Bolt-2018-576-43	43	behind
Bolt-2018-576-44	44	belly, abdomen
Bolt-2018-576-45	45	belt
Bolt-2018-576-46	46	big
Bolt-2018-576-47	47	bind (v)
Bolt-2018-576-48	48	bird
Bolt-2018-576-49	49	bite
Bolt-2018-576-50	50	bitter (vi)
Bolt-2018-576-51	51	black
Bolt-2018-576-52	52	blood
Bolt-2018-576-53	53	blow
Bolt-2018-576-54	54	blow (wind)
Bolt-2018-576-55	55	boar, wild
Bolt-2018-576-56	56	boil (n)
Bolt-2018-576-57	57	boil  (water)
Bolt-2018-576-58	58	bone
Bolt-2018-576-59	59	borrow1
Bolt-2018-576-60	60	borrow2
Bolt-2018-576-61	61	bow
Bolt-2018-576-62	62	brain
Bolt-2018-576-63	63	branch
Bolt-2018-576-64	64	break
Bolt-2018-576-65	65	breast, milk
Bolt-2018-576-66	66	breath
Bolt-2018-576-67	67	bridge
Bolt-2018-576-68	68	bridge, hanging
Bolt-2018-576-69	69	bring
Bolt-2018-576-70	70	brother (elder)
Bolt-2018-576-71	71	brother-in-law
Bolt-2018-576-72	72	brother, younger
Bolt-2018-576-73	73	buckwheat, bitter
Bolt-2018-576-74	74	buckwheat, sweet
Bolt-2018-576-75	75	buffalo
Bolt-2018-576-76	76	Bugun
Bolt-2018-576-77	77	burn, roast (vt)
Bolt-2018-576-78	78	burn (vi)
Bolt-2018-576-79	79	butter
Bolt-2018-576-80	80	butterfly
Bolt-2018-576-81	81	buy
Bolt-2018-576-82	82	call for
Bolt-2018-576-83	83	cane
Bolt-2018-576-84	84	cap, hat
Bolt-2018-576-85	85	carry
Bolt-2018-576-86	86	cat
Bolt-2018-576-87	87	cattle, cow
Bolt-2018-576-88	88	cave
Bolt-2018-576-89	89	charcoal
Bolt-2018-576-90	90	chest
Bolt-2018-576-91	91	chew
Bolt-2018-576-92	92	chicken
Bolt-2018-576-93	93	child
Bolt-2018-576-94	94	chili
Bolt-2018-576-95	95	chin
Bolt-2018-576-96	96	civet or spotted wild cat
Bolt-2018-576-97	97	civet, palm
Bolt-2018-576-98	98	clean
Bolt-2018-576-99	99	cliff, ravine
Bolt-2018-576-100	100	clitoris
Bolt-2018-576-101	101	clothing
Bolt-2018-576-102	102	cloud, mist, fog
Bolt-2018-576-103	103	cockroach
Bolt-2018-576-104	104	cold
Bolt-2018-576-105	105	cold (vi)
Bolt-2018-576-106	106	comb
Bolt-2018-576-107	107	come
Bolt-2018-576-108	108	comparative degree
Bolt-2018-576-109	109	CONCEPT
Bolt-2018-576-110	110	cook1
Bolt-2018-576-111	111	cook2
Bolt-2018-576-112	112	copula, existential
Bolt-2018-576-113	113	copula, negative
Bolt-2018-576-114	114	corpse
Bolt-2018-576-115	115	cotton
Bolt-2018-576-116	116	cough (vi)
Bolt-2018-576-117	117	count
Bolt-2018-576-118	118	cover (v)
Bolt-2018-576-119	119	creeper, vine
Bolt-2018-576-120	120	crow
Bolt-2018-576-121	121	cry
Bolt-2018-576-122	122	cucumber
Bolt-2018-576-123	123	curcuma sp.
Bolt-2018-576-124	124	cure (vi)
Bolt-2018-576-125	125	cut
Bolt-2018-576-126	126	dance
Bolt-2018-576-127	127	daughter
Bolt-2018-576-128	128	daughter-in-law
Bolt-2018-576-129	129	day after tomorrow
Bolt-2018-576-130	130	day after two days
Bolt-2018-576-131	131	day before two days
Bolt-2018-576-132	132	day before yesterday
Bolt-2018-576-133	133	deaf
Bolt-2018-576-134	134	deep
Bolt-2018-576-135	135	deer, barking
Bolt-2018-576-136	136	deer, sambar
Bolt-2018-576-137	137	defeat (vi)
Bolt-2018-576-138	138	deity, ghost
Bolt-2018-576-139	139	descend
Bolt-2018-576-140	140	die
Bolt-2018-576-141	141	dig
Bolt-2018-576-142	142	dirty
Bolt-2018-576-143	143	disease
Bolt-2018-576-144	144	do
Bolt-2018-576-145	145	dog
Bolt-2018-576-146	146	dog, wild
Bolt-2018-576-147	147	door
Bolt-2018-576-148	148	down
Bolt-2018-576-149	149	down (visible)
Bolt-2018-576-150	150	dragon, thunder, lightning
Bolt-2018-576-151	151	dream (n)
Bolt-2018-576-152	152	drink
Bolt-2018-576-153	153	dry (adj.)
Bolt-2018-576-154	154	dry, dry up (v.i.)
Bolt-2018-576-155	155	dual
Bolt-2018-576-156	156	eagle, buzzard
Bolt-2018-576-157	157	ear
Bolt-2018-576-158	158	earthworm
Bolt-2018-576-159	159	eat
Bolt-2018-576-160	160	egg
Bolt-2018-576-161	161	eggplant
Bolt-2018-576-162	162	eight
Bolt-2018-576-163	163	elbow
Bolt-2018-576-164	164	elephant
Bolt-2018-576-165	165	empty
Bolt-2018-576-166	166	excrement
Bolt-2018-576-167	167	excrete
Bolt-2018-576-168	168	exit
Bolt-2018-576-169	169	eye
Bolt-2018-576-170	170	face1
Bolt-2018-576-171	171	face2
Bolt-2018-576-172	172	falcon
Bolt-2018-576-173	173	fall1
Bolt-2018-576-174	174	fall2
Bolt-2018-576-175	175	far
Bolt-2018-576-176	176	fast
Bolt-2018-576-177	177	father
Bolt-2018-576-178	178	fat (n)
Bolt-2018-576-179	179	fear (vi)
Bolt-2018-576-180	180	female
Bolt-2018-576-181	181	fence
Bolt-2018-576-182	182	fern, fiddlehead
Bolt-2018-576-183	183	fetch
Bolt-2018-576-184	184	few, little
Bolt-2018-576-185	185	field
Bolt-2018-576-186	186	finger
Bolt-2018-576-187	187	fire
Bolt-2018-576-188	188	fire prefix
Bolt-2018-576-189	189	fish
Bolt-2018-576-190	190	five
Bolt-2018-576-191	191	flame
Bolt-2018-576-192	192	flee
Bolt-2018-576-193	193	float
Bolt-2018-576-194	194	flour
Bolt-2018-576-195	195	flow
Bolt-2018-576-196	196	fly (n)
Bolt-2018-576-197	197	fly (vi)
Bolt-2018-576-198	198	fodder
Bolt-2018-576-199	199	food
Bolt-2018-576-200	200	forehead
Bolt-2018-576-201	201	forest1
Bolt-2018-576-202	202	forest2
Bolt-2018-576-203	203	forget
Bolt-2018-576-204	204	four
Bolt-2018-576-205	205	friend
Bolt-2018-576-206	206	frog
Bolt-2018-576-207	207	frost
Bolt-2018-576-208	208	fruit
Bolt-2018-576-209	209	frying pan
Bolt-2018-576-210	210	full
Bolt-2018-576-211	211	gall, bile
Bolt-2018-576-212	212	garden
Bolt-2018-576-213	213	garlic
Bolt-2018-576-214	214	give
Bolt-2018-576-215	215	go
Bolt-2018-576-216	216	goat
Bolt-2018-576-217	217	goitre
Bolt-2018-576-218	218	gold
Bolt-2018-576-219	219	good
Bolt-2018-576-220	220	goral
Bolt-2018-576-221	221	gourd
Bolt-2018-576-222	222	grandfather
Bolt-2018-576-223	223	grandmother
Bolt-2018-576-224	224	green
Bolt-2018-576-225	225	grind, pound
Bolt-2018-576-226	226	gum
Bolt-2018-576-227	227	hail
Bolt-2018-576-228	228	hair (body): feather
Bolt-2018-576-229	229	hair (head)
Bolt-2018-576-230	230	halt, stop
Bolt-2018-576-231	231	hand, arm
Bolt-2018-576-232	232	hard
Bolt-2018-576-233	233	hatch
Bolt-2018-576-234	234	head
Bolt-2018-576-235	235	heart
Bolt-2018-576-236	236	hearth, fireplace
Bolt-2018-576-237	237	heavy
Bolt-2018-576-238	238	here
Bolt-2018-576-239	239	hide
Bolt-2018-576-240	240	hold
Bolt-2018-576-241	241	honey
Bolt-2018-576-242	242	horn
