ID	NUMBER 	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
Bolt-2018-576-1	1	1sg	1209	I	2
Bolt-2018-576-2	2	2pl.excl		???	
Bolt-2018-576-3	3	2pl.incl		???	
Bolt-2018-576-4	4	2sg	1215	THOU	2
Bolt-2018-576-5	5	3sg	262	HE OR SHE OR IT	2
Bolt-2018-576-6	6	ablative		???	
#<<<					
Bolt-2018-576-7	7	above, top	2379	UP OR ABOVE	4
Bolt-2018-576-7	7	above, top	1591	UP	4
Bolt-2018-576-7	7	above, top	1741	ABOVE	4
Bolt-2018-576-7	7	above, top	3036	TREETOP	4
Bolt-2018-576-7	7	above, top	1753	TOP	4
#>>>					
Bolt-2018-576-8	8	achieve, obtain	694	GET	4
Bolt-2018-576-9	9	aconite		???	
Bolt-2018-576-10	10	after	1685	AFTER	2
Bolt-2018-576-11	11	afternoon	1807	AFTERNOON	2
Bolt-2018-576-12	12	agent		???	
#<<<					
Bolt-2018-576-13	13	alive, healthy	1422	BE ALIVE	4
Bolt-2018-576-13	13	alive, healthy	1364	HEALTHY	4
#>>>					
Bolt-2018-576-14	14	all	98	ALL	2
Bolt-2018-576-15	15	allative		???	
Bolt-2018-576-16	16	amaranth		???	
#<<<					
Bolt-2018-576-17	17	angry (vi)	1826	ANGRY	4
Bolt-2018-576-17	17	angry (vi)	2223	BE ANGRY	4
#>>>					
Bolt-2018-576-18	18	ant	587	ANT	2
Bolt-2018-576-19	19	arrive	1387	ARRIVE	2
Bolt-2018-576-20	20	arrow	977	ARROW	2
Bolt-2018-576-21	21	ascend	705	GO UP (ASCEND)	2
Bolt-2018-576-22	22	ash	646	ASH	2
Bolt-2018-576-23	23	ask	1309	ASK (INQUIRE)	2
Bolt-2018-576-24	24	associative		???	
Bolt-2018-576-25	25	attic		???	
Bolt-2018-576-26	26	axe	677	AXE	2
#<<<					
Bolt-2018-576-27	27	back (n)	1291	BACK	4
Bolt-2018-576-27	27	back (n)	1482	SHOULDER	4
Bolt-2018-576-27	27	back (n)	2910	BACK (DIRECTION)	4
Bolt-2018-576-27	27	back (n)	2323	BACK (PART)	4
#>>>					
#<<<					
Bolt-2018-576-28	28	back (wards)	1291	BACK	4
Bolt-2018-576-28	28	back (wards)	1482	SHOULDER	4
Bolt-2018-576-28	28	back (wards)	2910	BACK (DIRECTION)	4
Bolt-2018-576-28	28	back (wards)	2323	BACK (PART)	4
#>>>					
Bolt-2018-576-29	29	bad1		???	
Bolt-2018-576-30	30	bad2		???	
Bolt-2018-576-31	31	bamboo	1927	BAMBOO	2
Bolt-2018-576-32	32	banana	868	BANANA	2
Bolt-2018-576-33	33	barley	932	BARLEY	2
Bolt-2018-576-34	34	bastard	1947	BASTARD	2
Bolt-2018-576-35	35	bat	1793	BAT	2
Bolt-2018-576-36	36	beans	832	BEAN	2
Bolt-2018-576-37	37	bear	1820	BEAR	2
#<<<					
Bolt-2018-576-38	38	beat, hit	354	POUND	4
Bolt-2018-576-38	38	beat, hit	1433	HIT	4
Bolt-2018-576-38	38	beat, hit	2133	STRIKE OR BEAT	4
Bolt-2018-576-38	38	beat, hit	111	DRUMMING	4
Bolt-2018-576-38	38	beat, hit	2740	BEAT (CLASSIFIER)	4
Bolt-2018-576-38	38	beat, hit	1665	BEAT	4
#>>>					
Bolt-2018-576-39	39	beautiful	1427	BEAUTIFUL	2
Bolt-2018-576-40	40	bee	665	BEE	2
Bolt-2018-576-41	41	beer filter		???	
Bolt-2018-576-42	42	beer strainer		???	
Bolt-2018-576-43	43	behind	1686	BEHIND	2
#<<<					
Bolt-2018-576-44	44	belly, abdomen	819	STOMACH	4
Bolt-2018-576-44	44	belly, abdomen	2114	BELLY OR STOMACH	4
Bolt-2018-576-44	44	belly, abdomen	1251	BELLY	4
#>>>					
Bolt-2018-576-45	45	belt	772	BELT	2
Bolt-2018-576-46	46	big	1202	BIG	2
Bolt-2018-576-47	47	bind (v)	1917	TIE	3
Bolt-2018-576-48	48	bird	937	BIRD	2
Bolt-2018-576-49	49	bite	1403	BITE	2
Bolt-2018-576-50	50	bitter (vi)	887	BITTER	4
Bolt-2018-576-51	51	black	163	BLACK	2
Bolt-2018-576-52	52	blood	946	BLOOD	2
#<<<					
Bolt-2018-576-53	53	blow	176	BLOW (WITH MOUTH)	2
Bolt-2018-576-53	53	blow	175	BLOW (OF WIND)	2
#>>>					
Bolt-2018-576-54	54	blow (wind)	175	BLOW (OF WIND)	2
#<<<					
Bolt-2018-576-55	55	boar, wild	1348	BOAR	4
Bolt-2018-576-55	55	boar, wild	2230	UNTAMED OR WILD	4
Bolt-2018-576-55	55	boar, wild	1208	CAT	4
#>>>					
#<<<					
Bolt-2018-576-56	56	boil (n)	1100	COOK (SOMETHING)	4
Bolt-2018-576-56	56	boil (n)	792	BOIL (OF LIQUID)	4
Bolt-2018-576-56	56	boil (n)	793	BOIL (OF SKIN)	4
Bolt-2018-576-56	56	boil (n)	2492	BOIL (SOMETHING)	4
Bolt-2018-576-56	56	boil (n)	2493	BOIL	4
Bolt-2018-576-56	56	boil (n)	1809	PIMPLE	4
#>>>					
#<<<					
Bolt-2018-576-57	57	boil  (water)	1100	COOK (SOMETHING)	4
Bolt-2018-576-57	57	boil  (water)	792	BOIL (OF LIQUID)	4
Bolt-2018-576-57	57	boil  (water)	793	BOIL (OF SKIN)	4
Bolt-2018-576-57	57	boil  (water)	2492	BOIL (SOMETHING)	4
Bolt-2018-576-57	57	boil  (water)	2493	BOIL	4
Bolt-2018-576-57	57	boil  (water)	1809	PIMPLE	4
#>>>					
Bolt-2018-576-58	58	bone	1394	BONE	2
Bolt-2018-576-59	59	borrow1		???	
Bolt-2018-576-60	60	borrow2		???	
Bolt-2018-576-61	61	bow	994	BOW	2
Bolt-2018-576-62	62	brain	1583	BRAIN	2
Bolt-2018-576-63	63	branch	1531	BRANCH	2
#<<<					
Bolt-2018-576-64	64	break	2558	BREAK (CLEAVE)	2
Bolt-2018-576-64	64	break	680	BREAK (DESTROY OR GET DESTROYED)	2
#>>>					
Bolt-2018-576-65	65	breast, milk	2129	BREAST OR MILK	2
Bolt-2018-576-66	66	breath	870	BREATH	2
Bolt-2018-576-67	67	bridge	1011	BRIDGE	2
#<<<					
Bolt-2018-576-68	68	bridge, hanging	2733	BRIDGE (CLASSIFIER)	4
Bolt-2018-576-68	68	bridge, hanging	1011	BRIDGE	4
#>>>					
Bolt-2018-576-69	69	bring	692	BRING	2
Bolt-2018-576-70	70	brother (elder)	1759	OLDER BROTHER	2
Bolt-2018-576-71	71	brother-in-law	2314	BROTHER-IN-LAW	2
#<<<					
Bolt-2018-576-72	72	brother, younger	3038	SAME-SEX YOUNGER SIBLING	4
Bolt-2018-576-72	72	brother, younger	2416	YOUNGER BROTHER (OF MAN)	4
