ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT
1	Khispi	1sg	1sg	ga	ga	g a		1	1	g a
2	Duhumbi	1sg	1sg	ga	ga	g a		1	1	g a
3	Khoina	1sg	1sg	guː	guː	g uː		1	1	g uː
4	Jerigaon	1sg	1sg	guː	guː	g uː		1	1	g uː
5	Khoitam	1sg	1sg	guː	guː	g uː		1	1	g uː
6	Rahung	1sg	1sg	guː	guː	g uː		1	1	g uː
7	Rupa	1sg	1sg	guː	guː	g uː		1	1	g uː
8	Shergaon	1sg	1sg	guː	guː	g uː		1	1	g uː
9	Khispi	2pl.excl	2pl.excl	na-lu	na+lu	n a + l u		3 2	3 2	n a ◦ - l u -
10	Duhumbi	2pl.excl	2pl.excl	na-ɹ	na+ɹ	n a + ɹ		3 2	3 2	n a ◦ - ɹ - -
14	Rahung	2pl.excl	2pl.excl	na-ryː	na+ryː	n a + r yː		3 2	3 2	n a ◦ - r yː -
15	Rupa	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː ◦ b l u ŋ
16	Shergaon	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n aː ◦ b l u ŋ
17	Khispi	2pl.incl	2pl.incl	nal-tʰe	nal+tʰe	n a l + tʰ e		5 4	5 4	n a l ◦ tʰ e -
18	Duhumbi	2pl.incl	2pl.incl	naɹ-tʰeˀ	naɹ+tʰeˀ	n a ɹ + tʰ eˀ		5 4	5 4	n a ɹ ◦ tʰ eˀ -
19	Khoina	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - ◦ tʰ i k
20	Jerigaon	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n a - ◦ tʰ i k
21	Khoitam	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - ◦ tʰ ɛ k
22	Rahung	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n a - ◦ tʰ ɛ k
23	Rupa	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - ◦ tʰ i k
24	Shergaon	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n aː - ◦ tʰ i k
25	Khispi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
26	Duhumbi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
27	Khoina	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
28	Jerigaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
29	Khoitam	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
30	Rahung	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
31	Rupa	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
32	Shergaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ
33	Khispi	3sg	3sg	wuj	wuj	w u j		7	7	w u j
34	Duhumbi	3sg	3sg	wɔj	wɔj	w ɔ j		7	7	w ɔ j
35	Khoina	3sg	3sg	laŋ-waː	laŋ+waː	l a ŋ + w aː		10 7	10 7	l a ŋ ◦ w aː -
36	Jerigaon	3sg	3sg	waː	waː	w aː		7	7	w aː -
37	Khoitam	3sg	3sg	waː-ʥi	waː+ʥi	w aː + dʑ i		7 9	7 9	w aː - ◦ dʑ i
38	Rahung	3sg	3sg	hɛˀ ~ ɛˀ	hɛˀ	h ɛˀ		8	8	h ɛˀ
39	Rupa	3sg	3sg	waː	waː	w aː		7	7	w aː -
40	Shergaon	3sg	3sg	waː	waː	w aː		7	7	w aː -
603	Khoina	Bugun	Bugun	ʂə-luŋ	ʂə+luŋ	ʂ ə + l u ŋ		11 12	11 12	ʂ ə ◦ l u ŋ
606	Rahung	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u ◦ l u ŋ
607	Rupa	Bugun	Bugun	sə-luŋ	sə+luŋ	s ə + l u ŋ		11 12	11 12	s ə ◦ l u ŋ
608	Shergaon	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u ◦ l u ŋ
2041	Khispi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i ◦ tɕʰ a
2042	Duhumbi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i ◦ tɕʰ a
2043	Khoina	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə ◦ tɕʰ uː
